I'm 19.	J'ai 19 ans.
I'm OK.	Je vais bien.
I'm OK.	Ça va.
I'm Tom.	Je suis Tom.
I'm fat.	Je suis gras.
I'm fat.	Je suis gros.
I'm fit.	Je suis en forme.
I'm hit!	Je suis touché !
I'm hit!	Je suis touchée !
I'm ill.	Je suis malade.
I'm sad.	Je suis triste.
I'm shy.	Je suis timide.
I'm wet.	Je suis mouillé.
I'm wet.	Je suis mouillée.
He's wet.	Il est mouillé.
I am fat.	Je suis gras.
I'm back.	Je suis revenu.
I'm back.	Me revoilà.
I'm bald.	Je suis chauve.
I'm busy.	Je suis occupé.
I'm busy.	Je suis occupée.
I'm calm.	Je suis calme.
I'm cold.	J'ai froid.
I'm deaf.	Je suis sourd.
I'm deaf.	Je suis sourde.
I'm done.	J'en ai fini.
I'm fast.	Je suis rapide.
I'm fine.	Tout va bien.
I'm fine.	Je vais bien.
I'm fine.	Ça va.
I'm free!	Je suis libre !
I'm free.	Je suis libre.
I'm free.	Je suis disponible.
I'm full.	Je suis repu !
I'm full.	Je suis rassasié !
I'm glad.	Je suis content.
I'm home.	Je suis chez moi.
I'm late.	Je suis en retard.
I'm lazy.	Je suis paresseux.
I'm lazy.	Je suis fainéant.
I'm lazy.	Je suis paresseuse.
I'm lazy.	Je suis fainéante.
I'm okay.	Je vais bien.
I'm okay.	Je me porte bien.
I'm rich.	Je suis riche.
I'm safe.	Je suis en sécurité.
I'm sick.	Je suis malade.
I'm sure.	J'en suis certain.
I'm sure.	Je suis certain.
I'm sure.	J'en suis sûr.
I'm sure.	J'en suis sûre.
I'm tall.	Je suis grande.
I'm thin.	Je suis mince.
I'm tidy.	Je suis ordonné.
I'm tidy.	Je suis ordonnée.
I'm ugly.	Je suis laid.
I'm ugly.	Je suis laide.
I'm weak.	Je suis faible.
I'm well.	Je vais bien.
I'm well.	Je me porte bien.
He is ill.	Il est malade.
He is old.	Il est vieux.
He's a DJ.	Il est DJ.
He's good.	Il est bon.
He's lazy.	Il est paresseux.
He's rich.	Il est riche.
I am busy.	Je suis occupé.
I am calm.	Je suis calme.
I am cold.	J'ai froid.
I am fine.	Je vais bien.
I am good.	Je suis bon.
I am here.	Je suis ici.
I am lazy.	Je suis paresseux.
I am lazy.	Je suis fainéant.
I am lazy.	Je suis paresseuse.
I am lazy.	Je suis fainéante.
I am okay.	Je vais bien.
I am sick.	Je suis malade.
I am sure.	Je suis sûr.
I am sure.	Je suis certain.
I am weak.	Je suis faible.
I'm a cop.	Je suis flic.
I'm a man.	Je suis un homme.
I'm alive.	Je suis en vie.
I'm alive.	Je suis vivant.
I'm alive.	Je suis vivante.
I'm alone.	Je suis seule.
I'm alone.	Je suis seul.
I'm angry.	Je suis énervé.
I'm angry.	Je suis en colère.
I'm armed.	Je suis armé.
I'm armed.	Je suis armée.
I'm awake.	Je suis réveillé.
I'm blind.	Je suis aveugle.
I'm broke.	Je suis fauché.
I'm clean.	J'ai décroché.
I'm clean.	Je suis propre.
I'm crazy.	Je suis fou.
I'm crazy.	Je suis folle.
I'm cured.	Je suis guéri.
I'm cured.	Je suis guérie.
I'm drunk.	Je suis saoul.
I'm drunk.	Je suis soûl.
I'm drunk.	Je suis ivre.
I'm dying.	Je me meurs.
I'm early.	Je suis en avance.
I'm first.	Je suis en premier.
I'm fussy.	Je suis difficile.
I'm fussy.	Je suis tatillon.
I'm fussy.	Je suis tatillonne.
I'm going.	Je pars maintenant.
I'm going.	Je me tire.
I'm going.	J’y vais.
I'm going.	Je pars.
I'm loyal.	Je suis loyal.
I'm loyal.	Je suis loyale.
I'm lucky.	Je suis veinard.
I'm lucky.	Je suis veinarde.
I'm lucky.	J'ai du pot.
I'm lucky.	Je suis chanceux.
I'm lucky.	Je suis chanceuse.
I'm lying.	Je suis en train de mentir.
I'm quiet.	Je suis tranquille.
I'm ready!	Je suis prête !
I'm ready!	Je suis prêt !
I'm ready.	Je suis prêt.
I'm right.	J'ai raison.
I'm sober.	Je suis sobre.
I'm sorry.	Excuse-moi.
I'm sorry.	Désolé.
I'm sorry.	Excusez-moi.
I'm sorry.	Désolé !
I'm sorry.	Je suis désolé.
I'm sorry.	Je suis désolée.
I'm stuck.	Je suis coincée.
I'm timid.	Je suis timide.
I'm tired.	Je suis fatigué !
I'm tough.	Je suis dur.
I'm tough.	Je suis dure.
I'm tough.	Je suis dur à cuire.
I'm tough.	Je suis dure à cuire.
I'm yours.	Je suis à toi.
I'm yours.	Je suis à vous.
She's hot.	Elle est chaude.
She's hot.	Elle est très attirante.
We're hot.	Nous avons chaud.
We're sad.	Nous sommes tristes.
We're shy.	Nous sommes timides.
He is a DJ.	Il est DJ.
He is busy.	Il a à faire.
He is here!	Il est ici !
He is kind.	Il est gentil.
He is late.	Il est en retard.
He is lazy.	Il est fainéant.
He is lazy.	Il est paresseux.
He is poor.	Il est pauvre.
He is sick.	Il est malade.
He's Swiss.	Il est Suisse.
He's Swiss.	Il est Helvète.
He's broke.	Il est ruiné.
He's broke.	Il est fauché.
He's drunk.	Il est ivre.
He's drunk.	Il est soûl.
He's smart.	Il est intelligent.
I am a man.	Je suis un homme.
I am human.	Je suis humain.
I am ready.	Je suis prêt.
I am right.	J'ai raison.
I am sorry.	Je suis désolé.
I am sorry.	Je suis désolée.
I am tired.	Je suis fatigué !
I am tired.	Je suis crevé.
I'm a hero.	Je suis un héros.
I'm a liar.	Je suis un menteur.
I'm baking!	Je cuis !
I'm better.	Je vais mieux.
I'm buying.	Je paie.
I'm buying.	C'est moi qui paie.
I'm chubby.	Je suis grassouillet.
I'm chubby.	Je suis grassouillette.
I'm eating.	Je mange.
I'm famous.	Je suis connu.
I'm famous.	Je suis connue.
I'm faster.	Je suis plus rapide.
I'm flabby.	Je suis flasque.
I'm greedy.	Je suis cupide.
I'm greedy.	Je suis gourmand.
I'm greedy.	Je suis gourmande.
I'm hiding.	Je me cache.
I'm honest.	Je suis honnête.
I'm humble.	Je suis humble.
I'm hungry!	J'ai faim !
I'm hungry.	J'ai faim !
I'm immune.	Je suis immunisé.
I'm immune.	Je suis immunisée.
I'm in bed.	Je suis au lit.
I'm in bed.	Je suis alité.
I'm in bed.	Je suis alitée.
I'm joking.	Je rigole !
I'm loaded.	Je suis saoul.
I'm lonely.	Je me sens seul.
I'm lonely.	Je me sens seule.
I'm losing.	Je suis en train de perdre.
I'm moving.	Je suis en train de déménager.
I'm normal.	Je suis normal.
I'm normal.	Je suis normale.
I'm paying.	C'est moi qui paie.
I'm paying.	Je suis en train de payer.
I'm pooped.	Je suis crevé.
I'm rested.	Je suis reposé.
I'm rested.	Je suis reposée.
I'm ruined.	Je suis ruiné.
I'm ruined.	Je suis ruinée.
I'm shaken.	Je suis remué.
I'm shaken.	Je suis remuée.
I'm single.	Je suis célibataire.
I'm skinny.	Je suis maigrichon.
I'm skinny.	Je suis maigrichonne.
I'm sleepy!	Je suis fatigué !
I'm sleepy!	J'ai sommeil !
I'm sneaky.	Je suis sournois.
I'm sneaky.	Je suis sournoise.
I'm strict.	Je suis strict.
I'm strict.	Je suis stricte.
I'm strong.	Je suis fort.
I'm strong.	Je suis forte.
I'm thirty.	J'ai trente ans.
I'm wasted.	Je suis affaiblie.
She is old.	Elle est vieille.
She smiled.	Elle a souri.
She's busy.	Elle est occupée.
She's nice.	Elle est gentille.
We are men.	Nous sommes des hommes.
We're back.	Nous sommes de retour.
We're busy.	Nous sommes occupés.
We're busy.	Nous sommes occupées.
We're done.	Nous avons fini.
We're done.	Nous avons terminé.
We're done.	Nous en avons fini.
We're done.	Nous en avons terminé.
We're even.	Nous sommes quittes.
We're fine.	Nous allons bien.
We're here.	Nous sommes ici.
We're here.	Nous sommes là.
We're home.	Nous sommes chez nous.
We're late.	Nous sommes en retard.
We're lazy.	Nous sommes paresseux.
We're lazy.	Nous sommes fainéantes.
We're lost.	Nous sommes perdus.
We're lost.	Nous sommes perdues.
We're rich.	Nous sommes riches.
We're safe.	Nous sommes en sécurité.
We're sunk.	On est foutu.
We're sunk.	Nous sommes foutus.
We're weak.	Nous sommes faibles.
You're bad.	Tu es vilain.
You're big.	Tu es grand.
You're big.	Tu es grande.
You're big.	Vous êtes grand.
You're big.	Vous êtes grande.
You're big.	Vous êtes grands.
You're big.	Vous êtes grandes.
You're fun.	T'es marrante.
You're fun.	T'es marrant.
You're old.	Tu es vieux.
You're old.	Tu es vieille.
You're old.	Vous êtes vieux.
You're old.	Vous êtes vieilles.
You're old.	Vous êtes vieille.
You're sad.	Tu es triste.
You're sad.	Vous êtes triste.
You're shy.	Tu es timide.
You're shy.	Vous êtes timide.
He is drunk.	Il est ivre.
He is drunk.	Il est soûl.
He is eight.	Il a huit ans.
He is hated.	Il est haï.
He is nasty.	Il est méchant.
He is young.	Il est jeune.
He's a hunk.	C'est un beau mec.
He's a hunk.	C'est un beau gosse.
He's a jerk.	C'est un pauvre type.
He's a liar.	C'est un menteur.
He's a nerd.	C'est un binoclard.
He's a slob.	C'est un flemmard.
He's asleep.	Il est endormi.
He's coming.	Il arrive.
He's coming.	Il est en train d'arriver.
He's crying.	Il est en train de pleurer.
He's faking.	Il simule.
He's loaded.	Il est blindé.
He's loaded.	Il est pété de thune.
He's loaded.	Il est plein aux as.
He's my age.	Il a mon âge.
He's not in.	Il n'est pas chez lui.
He's not in.	Il n'est pas à l'intérieur.
He's not in.	Il n'est pas là.
I am a cook.	Je suis cuisinier.
I am a monk.	Je suis un moine.
I am better.	Je vais mieux.
I am better.	Je suis mieux.
I am coming.	J'arrive.
I am hungry.	J'ai faim !
I am joking.	Je plaisante.
I am single.	Je suis célibataire.
I am taller.	Je suis plus grand.
I'm 17, too.	J'ai également dix-sept ans.
I'm a baker.	Je suis boulanger.
I'm a baker.	Je suis boulangère.
I'm a child.	Je suis un enfant.
I'm all set.	Je suis tout à fait prêt.
I'm all set.	Je suis tout à fait prête.
I'm ashamed.	J'ai honte.
I'm at home.	Je suis à la maison.
I'm at home.	Je suis dans la maison.
I'm at work.	Je suis au travail.
I'm baffled.	Je suis perplexe.
I'm blessed.	Je suis béni.
I'm blessed.	Je suis bénie.
I'm careful.	Je suis prudent.
I'm careful.	Je suis prudente.
I'm certain.	Je suis sûr.
I'm certain.	Je suis certain.
I'm chicken.	J'ai les foies.
I'm chicken.	J'ai les chocottes.
I'm cooking.	Je cuisine.
I'm correct.	J'ai raison.
I'm curious.	Je suis curieux.
I'm curious.	Je suis curieuse.
I'm dancing.	Je suis en train de danser.
I'm dieting.	Je suis au régime.
I'm driving.	Je suis en train de conduire.
I'm driving.	Je conduis.
